G2 1/72: ['unique_solution', 'unique_solution']
G2 2/72: ['unique_solution', 'unique_solution']
G2 3/72: ['unique_solution', 'unique_solution']
G2 4/72: ['unique_solution', 'unique_solution']
G2 5/72: ['unique_solution', 'unique_solution']
G2 6/72: ['unique_solution', 'unique_solution']
G2 7/72: ['unique_solution', 'unique_solution']
G2 8/72: ['unique_solution', 'unique_solution']
G2 9/72: ['unique_solution', 'unique_solution']
G2 10/72: ['unique_solution', 'unique_solution']
G2 11/72: ['unique_solution', 'unique_solution']
G2 12/72: ['unique_solution', 'unique_solution']
G2 13/72: ['unique_solution', 'unique_solution']
G2 14/72: ['unique_solution', 'unique_solution']
G2 15/72: ['unique_solution', 'unique_solution']
G2 16/72: ['unique_solution', 'unique_solution']
G2 17/72: ['unique_solution', 'unique_solution']
G2 18/72: ['unique_solution', 'unique_solution']
G2 19/72: ['unique_solution', 'unique_solution']
G2 20/72: ['unique_solution', 'unique_solution']
G2 21/72: ['unique_solution', 'unique_solution']
G2 22/72: ['unique_solution', 'unique_solution']
G2 23/72: ['unique_solution', 'unique_solution']
G2 24/72: ['unique_solution', 'unique_solution']
G2 25/72: ['unique_solution', 'unique_solution']
G2 26/72: ['unique_solution', 'unique_solution']
G2 27/72: ['unique_solution', 'unique_solution']
G2 28/72: ['unique_solution', 'unique_solution']
G2 29/72: ['unique_solution', 'unique_solution']
G2 30/72: ['unique_solution', 'unique_solution']
G2 31/72: ['unique_solution', 'unique_solution']
G2 32/72: ['unique_solution', 'unique_solution']
G2 33/72: ['unique_solution', 'unique_solution']
G2 34/72: ['unique_solution', 'unique_solution']
G2 35/72: ['unique_solution', 'unique_solution']
G2 36/72: ['unique_solution', 'unique_solution']
G2 37/72: ['unique_solution', 'unique_solution']
G2 38/72: ['unique_solution', 'unique_solution']
G2 39/72: ['unique_solution', 'unique_solution']
G2 40/72: ['unique_solution', 'unique_solution']
G2 41/72: ['unique_solution', 'unique_solution']
G2 42/72: ['unique_solution', 'unique_solution']
G2 43/72: ['unique_solution', 'unique_solution']
G2 44/72: ['unique_solution', 'unique_solution']
G2 45/72: ['unique_solution', 'unique_solution']
G2 46/72: ['unique_solution', 'unique_solution']
G2 47/72: ['unique_solution', 'unique_solution']
G2 48/72: ['unique_solution', 'unique_solution']
G2 49/72: ['unique_solution', 'unique_solution']
G2 50/72: ['unique_solution', 'unique_solution']
G2 51/72: ['unique_solution', 'unique_solution']
G2 52/72: ['unique_solution', 'unique_solution']
G2 53/72: ['unique_solution', 'unique_solution']
G2 54/72: ['unique_solution', 'unique_solution']
G2 55/72: ['unique_solution', 'unique_solution']
G2 56/72: ['unique_solution', 'unique_solution']
G2 57/72: ['unique_solution', 'unique_solution']
G2 58/72: ['unique_solution', 'unique_solution']
G2 59/72: ['unique_solution', 'unique_solution']
G2 60/72: ['unique_solution', 'unique_solution']
G2 61/72: ['unique_solution', 'unique_solution']
G2 62/72: ['unique_solution', 'unique_solution']
G2 63/72: ['unique_solution', 'unique_solution']
G2 64/72: ['unique_solution', 'unique_solution']
G2 65/72: ['unique_solution', 'unique_solution']
G2 66/72: ['unique_solution', 'unique_solution']
G2 67/72: ['unique_solution', 'unique_solution']
G2 68/72: ['unique_solution', 'unique_solution']
G2 69/72: ['unique_solution', 'unique_solution']
G2 70/72: ['unique_solution', 'unique_solution']
G2 71/72: ['unique_solution', 'unique_solution']
G2 72/72: ['unique_solution', 'unique_solution']
